Pair_id	SentenceA	SentenceB	SICK_original_label	corrected_label
3026	Two boy are playing on a trampoline	Some boys are playing on a trampoline	AeBBnA	AeBBnA
3034	The dog is not playing with a plastic container	The dog is playing with a plastic container	AcBBcA	AcBBcA
3036	The puppy is not playing with a plastic container	The puppy is playing with a plastic container	AcBBcA	AcBBcA
3039	The puppy is playing with a plastic container	The dog is playing with a plastic container	AeBBnA	AeBBnA
3042	A man is athletically jumping a wall	A man is jumping a wall	AeBBnA	AeBBnA
3047	A man is jumping off a low wall	A man is jumping a wall	AeBBnA	AeBBnA
3051	The man is pouring oil into a pan	A man is pouring oil into a pan	AeBBeA	AeBBeA
3052	There is no man pouring oil into a pan	A man is pouring oil into a pan	AcBBcA	AcBBcA
3057	A man is pouring oil into a skillet	The man is pouring oil into a pan	AeBBnA	AeBBnA
3059	A man is pouring oil into a pan	A man is pouring oil into a skillet	AeBBeA	AnBBeA
3060	A woman is driving a car and is animatedly talking to the man who is seated beside her	A woman is driving a car and is talking to the man who is seated beside her	AeBBnA	AeBBnA
3063	The woman and the man are travelling by car	The woman and the man are travelling by automobile	AeBBeA	AeBBeA
3064	The woman and the man are not travelling by car	The woman and the man are travelling by car	AcBBcA	AcBBcA
3065	A woman is driving a car and is talking to the man who is seated beside her	The woman and the man are travelling by automobile	AeBBnA	AeBBnA
3067	A woman is driving a car and is animatedly talking to the man who is seated beside her	The woman and the man are travelling by car	AeBBnA	AeBBnA
3068	There is no woman driving a car and talking to the man seated beside her	The woman and the man are travelling by car	AeBBnA	AnBBnA
3069	A man is talking to the woman who is seated beside him and is driving a car	The woman and the man are travelling by car	AeBBnA	AeBBnA
3070	A woman is driving a car and is talking to the man who is seated beside her	The woman and the man are travelling by car	AeBBnA	AeBBnA
3071	The person is brushing a cat	A person is brushing a cat	AeBBeA	AeBBeA
3072	A person is brushing a cat	Nobody is brushing a cat	AcBBcA	AcBBcA
3083	The woman is chopping garlic	The woman is not chopping garlic	AcBBcA	AcBBcA
3089	Some women are cheerfully dancing	Some women are dancing	AeBBnA	AeBBnA
3091	Three men are dancing	A few men are dancing	AeBBnA	AeBBnA
3092	Three men are dancing	The men are not dancing	AcBBcA	AcBBcA
3099	There is no man sitting on the floor and playing a guitar	A man is sitting on the floor and is playing a guitar	AcBBcA	AcBBcA
3101	The man is sitting on the floor in a room and strumming a guitar	A man is sitting on the floor in a room and strumming a guitar	AeBBeA	AeBBeA
3103	The man is sitting on the floor in a room and strumming a guitar	A man is sitting on the floor and is playing a guitar	AeBBnA	AeBBnA
3109	One man is eating some food	A man is eating some food	AeBBeA	AeBBeA
3110	There is no man eating some food	A man is eating some food	AcBBcA	AcBBcA
3111	The man is eating	The person is eating	AeBBnA	AeBBnA
3113	A man is eating some food	The person is eating	AeBBnA	AeBBnA
3118	A woman is carefully applying cosmetics to her eyelid	A woman is applying cosmetics to her eyelid	AeBBnA	AeBBnA
3121	There is no woman using an eye pencil and applying eye liner to her eyelid	A woman is using an eye pencil and is applying eye liner to her eyelid	AcBBcA	AcBBcA
3122	A woman is using a pencil for eyes and is applying eye liner to her eyelid	A woman is applying cosmetics to her eyelid	AeBBnA	AeBBnA
3126	A woman is using an eye pencil and is applying eye liner to her eyelid	A woman is applying cosmetics to her eyelid	AeBBnA	AeBBnA
3127	The baby is crawling happily	A baby is crawling happily	AeBBeA	AeBBeA
3129	A baby is sneezing and scaring another baby	A baby is sneezing and frightening another baby	AeBBeA	AeBBeA
3136	A monkey is kicking at the gloved hand of a person	A monkey is kicking at a person's glove	AeBBnA	AnBBnA
3137	There is no monkey kicking at the gloved hand of a person	A monkey is kicking at the gloved hand of a person	AcBBcA	AcBBcA
3139	The monkey is being trained in martial arts	The monkey is practicing martial arts	AeBBnA	AeBBnA
3140	The monkey isn't practicing martial arts	The monkey is practicing martial arts	AcBBcA	AcBBcA
3147	A man is powerfully kicking a soccer ball	A man is kicking a soccer ball	AeBBnA	AeBBnA
3155	A man is performing tricks with a soccer ball	A man is kicking a soccer ball	AeBBnA	AnBBnA
3157	A man is cutting a box	There is no man cutting a box	AcBBcA	AcBBcA
3158	The man is cutting the tape on the box	A man is cutting the tape on the box	AeBBeA	AeBBeA
3159	The man is cutting the tape on the box	The man is not cutting the tape on the box	AcBBcA	AcBBcA
3167	A kid is practicing with an instrument	A kid is playing an instrument	AeBBnA	AeBBnA
3170	There is no young boy playing a wind instrument	A young boy is playing a wind instrument	AcBBcA	AcBBcA
3171	A boy who is young is playing a wind instrument	A kid is playing an instrument	AeBBnA	AeBBnA
3175	A young boy is playing a wind instrument	A kid is playing an instrument	AeBBnA	AeBBnA
3176	A man is slowly trekking in the woods	A man is trekking in the woods	AeBBnA	AeBBnA
3178	The man is cheerfully hiking in the woods	The man is hiking in the woods	AeBBnA	AeBBnA
3179	The man is hiking in the woods	The man is not hiking in the woods	AcBBcA	AcBBcA
3180	The man is cheerfully hiking in the woods	A man is trekking in the woods	AeBBnA	AeBBnA
3182	A man is slowly trekking in the woods	The man is hiking in the woods	AeBBnA	AeBBnA
3185	The man is slicing a tomato	A man is slicing a tomato	AeBBeA	AeBBeA
3187	A woman is slicing a carrot	A woman is cutting a carrot	AeBBeA	AeBBnA
3195	There is no lady mixing a meat mixture in a bowl	A lady is mixing a meat mixture in a bowl	AcBBcA	AcBBcA
3196	The lady is stirring meat in a bowl	The woman is stirring meat in a bowl	AeBBeA	AeBBnA
3197	The woman is stirring meat in a bowl	The woman is not stirring meat in a bowl	AcBBcA	AcBBcA
3205	The woman is squeezing juice out of a lemon	A woman is squeezing juice out of a lemon	AeBBeA	AeBBeA
3206	A woman is squeezing juice out of a lemon	There is no woman squeezing juice out of a lemon	AcBBcA	AcBBcA
3211	A woman is squeezing juice out of a lemon	A woman is squeezing a lemon	AeBBnA	AeBBnA
3215	The kitten is not playing with a toy	The kitten is playing with a toy	AcBBcA	AcBBcA
3216	A kitten is playing with a blue rope toy	The little cat is playing with a toy	AeBBnA	AeBBnA
3218	A kitten is playing with a toy made of blue rope	The kitten is playing with a toy	AeBBnA	AeBBnA
3220	A kitten is playing with a blue rope toy	The kitten is playing with a toy	AeBBnA	AeBBnA
3221	A boy is fearfully walking across a bridge	A boy is walking across a bridge	AeBBnA	AeBBnA
3222	There is no boy walking across a bridge	A boy is walking across a bridge	AcBBcA	AcBBcA
3231	There is no boy hanging a fishing rod and running in front of a fish	A boy is hanging a fishing rod and running in front of a fish	AcBBcA	AcBBcA
3239	The squirrel is running in circles	A squirrel is running in circles	AeBBeA	AeBBeA
3240	A squirrel is running in circles	The squirrel is not running in circles	AcBBcA	AcBBcA
3241	An animal is running tiredly in circles	An animal is running in circles	AeBBnA	AeBBnA
3245	The squirrel is running in circles	An animal is running in circles	AeBBnA	AeBBnA
3247	A squirrel is running in circles	An animal is running in circles	AeBBnA	AeBBnA
3250	A woman is placing two eggs into a pot of water	A woman is putting two eggs into a pot of water	AeBBeA	AeBBeA
3256	A woman is placing two eggs into a pot of water	A woman is boiling eggs	AeBBnA	AnBBnA
3257	A man is playing the guitar	The man is playing the guitar	AeBBeA	AeBBeA
3263	The man is playing the guitar	A man is playing the guitar	AeBBeA	AeBBeA
3264	A man is playing the guitar	Nobody is playing the guitar	AcBBcA	AcBBcA
3266	A person is kicking a ball for a soccer game between somebody's feet	A person is kicking a soccer ball between their feet	AeBBnA	AnBBnA
3269	The soccer player is not kicking the ball between somebody's legs	The soccer player is kicking the ball between somebody's legs	AcBBcA	AcBBcA
3270	A person is kicking a soccer ball between their feet	The person who is playing soccer is kicking the ball between somebody's legs	AeBBnA	AnBBnA
3272	The soccer player is kicking the ball between somebody's legs	A person is kicking a ball for a soccer game between somebody's feet	AeBBnA	AeBBnA
3275	A child is running in and out of the waves of the ocean	A child is running in and out of the ocean waves	AeBBeA	AeBBeA
3278	The young boy is running through the ocean waves	The young boy is not running through the ocean waves	AcBBcA	AcBBcA
3280	The boy who is young is running through the ocean waves	A child is running in and out of the ocean waves	AeBBnA	AeBBnA
3283	The young boy is running through the ocean waves	A child is running in and out of the waves of the ocean	AeBBnA	AeBBnA
3285	The young boy is running through the ocean waves	A child is running in and out of the ocean waves	AeBBnA	AeBBnA
3286	A woman is coating a pork chop	A cook is coating a pork chop	AeBBnA	AnBBnA
3287	A woman is coating a pork chop	There is no woman coating a pork chop	AcBBcA	AcBBcA
3295	A man and a woman are walking through the woods	The man and the woman are walking through the woods	AeBBeA	AeBBeA
3297	A man is walking a woman through the woods	A man and a woman are walking through the woods	AeBBnA	AeBBnA
3298	The man and woman are strolling	The man and woman are walking	AeBBeA	AeBBnA
3299	The man and woman are not walking	The man and woman are walking	AcBBcA	AcBBcA
3302	The man and the woman are walking through the woods	The man and woman are walking	AeBBnA	AeBBnA
3304	A man is walking a woman through the woods	The man and woman are walking	AeBBnA	AeBBnA
3305	A man and a woman are walking through the woods	The man and woman are walking	AeBBnA	AeBBnA
3306	An airplane is swiftly flying through the air	An airplane is flying through the air	AeBBnA	AeBBnA
3309	The south African plane is flying in a blue sky	The south African plane is not flying in a blue sky	AcBBcA	AcBBcA
3310	The plane which is south African is flying in a blue sky	An airplane is flying through the air	AeBBnA	AeBBnA
3314	The south African plane is flying in a blue sky	An airplane is flying through the air	AeBBnA	AeBBnA
3316	There is no woman cooking a breaded pork chop	A woman is cooking a breaded pork chop	AcBBcA	AcBBcA
3318	The woman is frying a breaded pork chop	The woman is not frying a breaded pork chop	AcBBcA	AcBBcA
3323	The woman is frying a breaded pork chop	A woman is cooking a pork chop which is breaded	AeBBnA	AeBBnA
3325	The woman is frying a breaded pork chop	A woman is cooking a breaded pork chop	AeBBnA	AeBBnA
3328	The woman is slicing herbs	A woman is slicing herbs	AeBBeA	AeBBeA
3329	The woman is slicing herbs	The woman is not slicing herbs	AcBBcA	AcBBcA
3335	A man is dancing on a roof	A person is dancing on a roof	AeBBnA	AeBBnA
3338	There is no man standing on a roof top and playing a violin	A man is standing on a roof top and playing a violin	AcBBcA	AcBBcA
3344	A man is standing on a roof top and playing a violin	A man is standing on a roof	AeBBnA	AeBBnA
3348	Someone is typing on a keyboard	Somebody is typing on the keyboard	AeBBeA	AeBBeA
3350	Somebody is typing on the keyboard	Someone is typing	AeBBnA	AeBBnA
3354	Someone is typing on a keyboard	Someone is typing	AeBBnA	AeBBnA
3355	A woman is absently peeling a potato	A woman is peeling a potato	AeBBnA	AeBBnA
3364	A woman is cleaning a shrimp	The woman is cleaning a shrimp	AeBBeA	AeBBeA
3365	A woman is cleaning a shrimp	There is no woman cleaning a shrimp	AcBBcA	AcBBcA
3366	Someone is cleaning an animal	Someone is cleansing an animal	AeBBeA	AeBBeA
3367	Someone is cleaning an animal	Someone is dirtying an animal	AcBBcA	AcBBcA
3368	A woman is cleaning a shrimp	Someone is cleansing an animal	AeBBnA	AeBBnA
3370	The woman is cleaning a shrimp	Someone is cleaning an animal	AeBBnA	AeBBnA
3372	A woman is cleaning a shrimp	Someone is cleaning an animal	AeBBnA	AeBBnA
3373	A woman is riding a water scooter	A woman is riding a scooter for water	AeBBnA	AeBBeA
3374	There is no woman riding a water scooter	A woman is riding a water scooter	AcBBcA	AcBBcA
3376	The boy is speedily riding a tricycle	The boy is riding a tricycle	AeBBnA	AeBBnA
3377	The boy is riding a tricycle	The boy is not riding a tricycle	AcBBcA	AcBBcA
3385	There is no panda bear eating some bamboo	A panda bear is eating some bamboo	AcBBcA	AcBBcA
3387	The panda is not eating bamboo	The panda is eating bamboo	AcBBcA	AcBBcA
3392	A panda bear is eating some bamboo	The panda is eating bamboo	AeBBeA	AeBBeA
3393	Someone is beating an egg	Somebody is beating an egg	AeBBeA	AeBBeA
3394	Nobody is beating an egg	Someone is beating an egg	AcBBcA	AcBBcA
3395	The woman is stirring eggs in a bowl	The lady is stirring eggs in a bowl	AeBBeA	AnBBeA
3396	The woman is stirring eggs in a bowl	The woman isn't stirring eggs in a bowl	AcBBcA	AcBBcA
3402	A man is slowly folding a tortilla	A man is folding a tortilla	AeBBnA	AeBBnA
3406	A man is folding a tortilla	A tortilla is being folded by a person	AeBBnA	AeBBnA
3408	A man is slowly folding a tortilla	A person is folding a tortilla	AeBBnA	AeBBnA
3410	A man is folding a tortilla	A person is folding a tortilla	AeBBnA	AeBBnA
3411	The man is catching a fish	A man is catching a fish	AeBBeA	AeBBeA
3414	A woman is carefully deboning a fish	A woman is deboning a fish	AeBBnA	AeBBnA
3422	A man is playing a harp	The man is playing a harp	AeBBeA	AeBBeA
3434	There is no person buttering a tray	A person is buttering a tray	AcBBcA	AcBBcA
3435	A person is wiping butter on a tray	A person is spreading butter on a tray	AeBBnA	AeBBeA
3442	A woman is throwing volleyballs over a net	A woman is serving volleyballs over a net	AeBBnA	AeBBnA
3451	One man is chopping a log with an axe	A man is chopping a log with an axe	AeBBeA	AeBBeA
3452	A man is chopping a log with an axe	There is no man chopping a log with an axe	AcBBcA	AcBBcA
3454	The man is not chopping a tree trunk with an axe	The man is chopping a tree trunk with an axe	AcBBcA	AcBBcA
3462	A man is strumming a guitar	A man is playing a guitar	AeBBnA	AeBBnA
3466	A guitar is being passionately played by a man	A man is playing a guitar	AeBBnA	AeBBnA
3471	The man is thinking	A man is thinking	AeBBeA	AeBBeA
3472	A man is thinking	There is no man thinking	AcBBcA	AcBBcA
3481	A white cat perched on a small wooden cabinet is looking outside the window	There is no white cat perched on a small wooden cabinet looking outside the window	AcBBcA	AcBBcA
3484	The cat perched on the table isn't looking out the window	The cat perched on the table is looking out the window	AcBBcA	AcBBcA
3486	A white cat perched on a small wooden cabinet is looking outside the window	The cat perched on the table is looking curiously out the window	AeBBnA	AnBBnA
3488	A white cat perched on a small wooden cabinet is looking outside the window	The cat is looking out the window at the table on the perch	AeBBnA	AnBBnA
3493	The dog is licking the baby	A dog is licking a baby	AeBBeA	AeBBeA
3501	A dog is licking a baby	The dog is licking the baby	AeBBeA	AeBBeA
3502	There is no dog licking a baby	A dog is licking a baby	AcBBcA	AcBBcA
3507	The woman is not dicing garlic	The woman is dicing garlic	AcBBcA	AcBBcA
3510	The woman is dicing garlic	A woman is slicing garlic	AeBBnA	AeBBnA
3513	The woman is dancing	A woman is dancing	AeBBeA	AeBBeA
3514	A woman is dancing	There is no woman dancing	AcBBcA	AcBBcA
3515	The man is wildly dancing	The man is dancing	AeBBnA	AeBBnA
3516	The man is not dancing	The man is dancing	AcBBcA	AcBBcA
3519	The woman is dancing	The man is dancing	AnBBnA	AcBBcA
3521	The man is dancing	A woman is dancing	AnBBnA	AcBBcA
3522	The person is writing	A person is writing	AeBBeA	AeBBeA
3523	There is no person writing	A person is writing	AcBBcA	AcBBcA
3525	The person is not writing with a pencil	The person is writing with a pencil	AcBBcA	AcBBcA
3530	The person is writing with a pencil	The person is writing	AeBBnA	AeBBnA
3532	The person is writing with a pencil	A person is writing	AeBBnA	AeBBnA
3533	Somebody is boiling okra in a pot	Someone is boiling okra in a pot	AeBBeA	AeBBeA
3537	Nobody is cooking okra in a pan	Someone is cooking okra in a pan	AcBBcA	AcBBcA
3544	The man is dancing	A man is dancing	AeBBeA	AeBBeA
3553	A squirrel is crazily spinning around in circles	A squirrel is spinning around in circles	AeBBnA	AeBBnA
3554	A squirrel is spinning around in circles	There is no squirrel spinning around in circles	AcBBcA	AcBBcA
3555	A squirrel is running around in circles	An animal is running around in circles	AeBBnA	AeBBnA
3558	A squirrel is spinning around in circles	An animal is running around in circles	AeBBnA	AeBBnA
3561	A squirrel is crazily spinning around in circles	A squirrel is running around in circles	AeBBnA	AeBBnA
3568	The piece of paper is not being cut	The piece of paper is being cut	AcBBcA	AcBBcA
3574	Paper is being cut with scissors	The piece of paper is being cut	AeBBnA	AeBBnA
3575	The man is playing the flute	A man is playing a flute	AeBBeA	AeBBeA
3577	The man is skillfully playing the guitar	The man is playing a guitar	AeBBnA	AeBBnA
3578	The man is not playing the guitar	The man is playing a guitar	AcBBcA	AcBBcA
3580	A man is playing a flute	The man is not playing the guitar	AeBBnA	AeBBnA
3585	A man is playing the drums	There is no man playing the drums	AcBBcA	AcBBcA
3588	A man is practicing the drum	A man is playing the drums	AeBBnA	AeBBnA
3592	A man is playing the drums	A man is playing the drum	AeBBeA	AeBBeA
3593	A man is doing exercises	A person is doing exercises	AeBBnA	AeBBnA
3595	The man is doing floor exercises	One man is doing floor exercises	AeBBeA	AeBBeA
3596	The man is not doing floor exercises	The man is doing floor exercises	AcBBcA	AcBBcA
3598	One man is doing floor exercises	A man is doing exercises	AeBBnA	AeBBnA
3600	A man doing exercises is being floored	A man is doing exercises	AeBBnA	AeBBnA
3601	The man is doing floor exercises	A person is doing exercises	AeBBnA	AeBBnA
3603	The man is doing floor exercises	A man is doing exercises	AeBBnA	AeBBnA
3606	A monkey is riding a bike	A monkey is riding a bicycle	AeBBeA	AeBBeA
3607	A monkey is riding a bike	There is no monkey riding a bike	AcBBcA	AcBBcA
3615	One fish is swimming	A fish is swimming	AeBBeA	AeBBeA
3616	A fish is swimming	A fish is not swimming	AcBBcA	AcBBcA
3617	Some fish are swimming quickly	Some fish are swimming	AeBBnA	AeBBnA
3619	Some fish are swimming quickly	A fish is swimming	AeBBnA	AeBBnA
3621	Some fish are swimming	One fish is swimming 	AeBBnA	AeBBnA
3623	Some fish are swimming	A fish is swimming	AeBBnA	AeBBnA
3624	A woman is clumsily putting meat in a pan	A woman is putting meat in a pan	AeBBnA	AeBBnA
3625	A woman is putting meat in a pan	There is no woman putting meat in a pan	AcBBcA	AcBBcA
3627	The meat is being dropped into a pan	The meat is not being dropped into a pan	AcBBcA	AcBBcA
3629	A woman is putting meat in a pan	Someone is dropping the meat into a pan	AeBBnA	AeBBnA
3632	A woman is clumsily putting meat in a pan	The meat is being dropped into a pan	AeBBnA	AeBBnA
3635	A man is holding a frog	A person is holding a frog	AeBBnA	AeBBnA
3636	There is no man holding a frog	A man is holding a frog	AcBBcA	AcBBcA
3638	The woman is handling a frog	The woman is not handling a frog	AcBBcA	AcBBcA
3641	The woman is handling a frog	A person is holding a frog	AeBBnA	AeBBnA
3644	Four young men are standing still and a car is exploding behind them	Some young men are standing still and a car is exploding behind them	AeBBnA	AeBBnA
3648	The boys are standing in front of the burning car	The boys are not standing in front of the burning car	AcBBcA	AcBBcA
3658	There is no boy filling a pitcher with water	A boy is filling a pitcher with water	AcBBcA	AcBBcA
3666	A man and a woman are walking nicely	A man and a woman are walking	AeBBnA	AeBBnA
3668	A man is strolling in the rain	A man is walking in the rain	AeBBeA	AeBBnA
3669	There is no man walking in the rain	A man is walking in the rain	AcBBcA	AcBBcA
3681	Runners are racing down a track	Racers are running down a track	AeBBnA	AeBBnA
3689	The men are packing suitcases into the trunk of a car	The men are not packing suitcases into the trunk of a car	AcBBcA	AcBBcA
3691	The men are carefully putting suitcases into the trunk of a car	The men are putting suitcases into the trunk of a car	AeBBnA	AeBBnA
3692	The men are not putting suitcases into the trunk of a car	The men are putting suitcases into the trunk of a car	AcBBcA	AcBBcA
3693	The men are carefully putting suitcases into the trunk of a car	The men are packing suitcases into the trunk of a car	AeBBnA	AeBBnA
3701	A woman is putting make-up on	The woman is putting make-up on	AeBBeA	AeBBeA
3703	A woman is putting on eyeshadow	The woman is putting make-up on	AeBBnA	AeBBnA
3705	Eyeshadow is being put on by a woman	A woman is putting make-up on	AeBBnA	AeBBnA
3707	A woman is putting on eyeshadow	A woman is putting make-up on	AeBBnA	AeBBnA
3716	A toy train is violently striking a toy car	A toy train is striking a toy car	AeBBnA	AeBBnA
3717	A toy train is striking a toy car	There is no toy train striking a toy car	AcBBcA	AcBBcA
3719	The person is peeling an onion	A person is peeling an onion	AeBBeA	AeBBeA
3720	A person is peeling an onion	There is no person peeling an onion	AcBBcA	AcBBcA
3722	The person is not slicing onions	The person is slicing onions	AcBBcA	AcBBcA
3731	A few swimmers are racing in a lake	Swimmers are racing in a lake	AeBBnA	AeBBnA
3741	A talented man is playing the guitar	A man is playing a guitar	AeBBnA	AeBBnA
3744	A woman is playing a guitar	There is no woman playing a guitar	AcBBcA	AcBBcA
3749	A man is playing a guitar	A woman is playing a guitar	AnBBnA	AcBBcA
3750	A boy is looking at a calendar	A boy is staring at a calendar	AeBBeA	AnBBeA
3751	A boy is looking at a calendar	There is no boy looking at a calendar	AcBBcA	AcBBcA
3752	The boy is studying a calendar	A boy is studying a calendar	AeBBeA	AeBBeA
3765	A person is stupidly throwing a cat at the ceiling	A person is throwing a cat at the ceiling	AeBBnA	AeBBnA
3766	There is no person throwing a cat at the ceiling	A person is throwing a cat at the ceiling	AcBBcA	AcBBcA
3770	The woman is taking up and holding a baby kangaroo	The woman is picking up and holding a baby kangaroo	AeBBeA	AnBBeA
3771	The woman is picking up and holding a baby kangaroo	The woman is not picking up and holding a baby kangaroo	AcBBcA	AcBBcA
3777	A woman is dancing and a man is playing the keyboard	The woman is dancing and a man is playing the keyboard	AeBBeA	AeBBeA
3780	A woman is gracefully dancing on a stage	A woman is dancing on a stage	AeBBnA	AeBBnA
3790	A person is scrubbing a zucchini	The person is scrubbing a zucchini	AeBBeA	AeBBeA
3793	A woman is scrubbing a zucchini with a vegetable brush	There is no woman scrubbing a zucchini with a vegetable brush	AcBBcA	AcBBcA
3795	A woman is scrubbing a zucchini with a brush for vegetables	A person is scrubbing a zucchini	AeBBnA	AeBBnA
3798	A woman is scrubbing a zucchini with a vegetable brush	The person is scrubbing a zucchini	AeBBnA	AeBBnA
3800	A woman is scrubbing a zucchini with a vegetable brush	A person is scrubbing a zucchini	AeBBnA	AeBBnA
3802	There is no man in a hat playing a harp	A man in a hat is playing a harp	AcBBcA	AcBBcA
3804	A man is playing a guitar	A man is playing an instrument	AeBBnA	AeBBnA
3806	A man in a hat is playing a harp	A man is playing an instrument	AeBBnA	AeBBnA
3813	A woman is slicing a green pepper	There is no woman slicing a green pepper	AcBBcA	AcBBcA
3816	The woman with a knife is slicing a pepper	The woman with the knife is not slicing a pepper	AcBBcA	AcBBcA
3819	A woman is slicing a pepper which is green	The woman with a knife is slicing a pepper	AeBBnA	AnBBnA
3822	A woman is slicing a green pepper	The woman with a knife is slicing a pepper	AeBBnA	AnBBnA
3823	A concentrated woman is playing flute	A woman is playing flute	AeBBnA	AeBBnA
3825	The woman is playing a flute	A woman is playing a flute	AeBBeA	AeBBeA
3827	A woman is playing flute	The woman is playing a flute	AeBBeA	AeBBeA
3829	A concentrated woman is playing flute	A woman is playing a flute	AeBBnA	AeBBnA
3831	A woman is playing a flute	A woman is playing flute	AeBBeA	AeBBeA
3833	There is no man riding a horse	A man is riding a horse	AcBBcA	AcBBcA
3834	The man is riding a horse by a creek	The man is riding a horse by a stream	AeBBnA	AeBBnA
3835	The man is not riding a horse by a creek	The man is riding a horse by a creek	AcBBcA	AcBBcA
3837	The man is riding a horse by a stream	A man is riding a horse	AeBBnA	AeBBnA
3839	A horse is being ridden in a creek by a man	A man is riding a horse	AeBBnA	AeBBnA
3840	The man is riding a horse by a creek	A horse is being ridden by a man	AeBBnA	AeBBnA
3842	The man is riding a horse by a creek	A man is riding a horse	AeBBnA	AeBBnA
3843	A cat is playing a piano funnily	A cat is playing a piano	AeBBnA	AeBBnA
3846	The cat is playing keyboards	A cat is playing keyboards	AeBBeA	AeBBeA
3847	A cat is playing keyboards	There is no cat playing keyboards	AcBBcA	AcBBcA
3850	A cat is playing a piano funnily	A cat is playing keyboards	AeBBnA	AeBBnA
3854	A man is lazily walking down a road	A man is walking down a road	AeBBnA	AeBBnA
3856	The man is walking along a path through the wilderness	The man is walking along a track through the wilderness	AeBBeA	AeBBeA
3857	The man is walking along a path through the wilderness	The man is not walking along a path through the wilderness	AcBBcA	AcBBcA
3865	A man is coming out of the water	A person is coming out of the water	AeBBnA	AeBBnA
3867	The man is rising from a swamp	A man is rising from a swamp	AeBBeA	AeBBeA
3870	The man is rising from a swamp	A man is coming out of the water	AeBBnA	AeBBnA
3875	A man is rising from a swamp	A man is coming out of the water	AeBBnA	AeBBnA
3876	A man is dangerously dancing on the ceiling of a room	A man is dancing on the ceiling of a room	AeBBnA	AeBBnA
3878	A man is dancing upside-down on the ceiling	The man is dancing upside-down on the ceiling	AeBBeA	AeBBeA
3879	A man is dancing upside-down on the ceiling	There is no man dancing upside-down on the ceiling	AcBBcA	AcBBcA
3884	A man is dancing upside-down on the ceiling	A man is dancing on the ceiling of a room	AeBBnA	AeBBnA
3886	There is no man dancing	A man is dancing	AcBBcA	AcBBcA
3887	A man is singing passionately	A man is singing	AeBBnA	AeBBnA
3894	The girl is exercising	A girl is exercising	AeBBeA	AeBBeA
3897	There is no man exercising	A man is exercising	AcBBcA	AcBBcA
3905	The man is singing heartily and playing the guitar	The man is singing and playing the guitar	AeBBnA	AeBBnA
3907	The man is singing heartily and playing the guitar	A man is playing the guitar	AeBBnA	AeBBnA
3909	The man is singing and playing the guitar	The guitar is being played by a man	AeBBnA	AeBBnA
3911	The man is singing and playing the guitar	A man is playing the guitar	AeBBnA	AeBBnA
3914	The women are divinely dancing outside	The women are dancing outside	AeBBnA	AeBBnA
3915	The women are not dancing outside	The women are dancing outside	AcBBcA	AcBBcA
3918	The women are dancing outside	A few people are dancing	AeBBnA	AnBBnA
3920	The women are dancing outside	A group of people are dancing	AeBBnA	AeBBnA
3922	Boys are not dancing in front of some people	Boys are dancing in front of some people	AcBBcA	AcBBcA
3934	The boy is checking a calendar	A boy is checking a calendar	AeBBeA	AeBBeA
3935	A boy is checking a calendar	There is no boy checking a calendar	AcBBcA	AcBBcA
3936	A boy is attentively looking at a calendar	A boy is looking at a calendar	AeBBnA	AeBBnA
3938	A boy is attentively looking at a calendar	A boy is checking a calendar	AeBBnA	AeBBnA
3944	The men are fist fighting in a ring	The men are not fist fighting in a ring	AcBBcA	AcBBcA
3945	Two men are fist fighting in a ring	Two people are fist fighting in a ring	AeBBnA	AeBBnA
3947	The men are fist fighting in a ring	Two people are fist fighting in a ring	AeBBnA	AeBBnA
3950	The men are not fist fighting in a ring	Two men are fist fighting in a ring	AcBBcA	AcBBcA
3951	Two men are fist fighting in a ring	The men are fist fighting in a ring	AeBBnA	AeBBnA
3952	A biker is riding along the top of a fence	The biker is riding along the top of a fence	AeBBeA	AeBBeA
3954	The boy is riding a bike on the top of a fence made of metal	The boy is riding a bike on the top of a metal fence	AeBBeA	AeBBeA
3955	The boy is not riding a bike on the top of a metal fence	The boy is riding a bike on the top of a metal fence	AcBBcA	AcBBcA
3957	The boy is riding a bike on the top of a fence made of metal	A biker is riding along the top of a fence	AeBBnA	AeBBnA
3960	The boy is riding a bike on the top of a metal fence	The biker is riding along the top of a fence	AeBBnA	AeBBnA
3962	The boy is riding a bike on the top of a metal fence	A biker is riding along the top of a fence	AeBBnA	AeBBnA
3965	The woman is slicing a clove of garlic	A woman is slicing a clove of garlic	AeBBeA	AeBBeA
3966	There is no woman slicing a clove of garlic	A woman is slicing a clove of garlic	AcBBcA	AcBBcA
3972	A child is slowly waking up	A child is waking up	AeBBnA	AeBBnA
3973	A child is waking up	There is no child waking up	AcBBcA	AcBBcA
3976	A girl is awakening	A child is waking up	AeBBnA	AeBBnA
3980	A girl is waking up	A child is waking up	AeBBnA	AeBBnA
3981	A woman is peeling a potato	The woman is peeling a potato	AeBBeA	AeBBeA
3990	A boy is skillfully playing a piano	A boy is playing a piano	AeBBnA	AeBBnA
3991	There is no boy playing a piano	A boy is playing a piano	AcBBcA	AcBBcA
3992	A man is singing and playing a guitar	A person is singing and playing a guitar	AeBBnA	AeBBnA
4001	A man is recklessly climbing a rope	A man is climbing a rope	AeBBnA	AeBBnA
4004	A man is climbing up a rope	The man is climbing up a rope	AeBBeA	AeBBeA
4005	A man is climbing up a rope	The man is not climbing up a rope	AcBBcA	AcBBcA
