	filename	determiner	monotonicity	gold_label	replace_target	replace_source	replace_mode	ori_sentence	new_sentence
621	silver/p05/d1889	and	conjunction	neutral				Tom could n't just sit by	Tom could n't just sit by and watch Mary being bullied .
622	silver/p05/d1927	and	conjunction	entailment				Someday , you 'll wake up and find yourself dead .	Someday , you 'll wake up
623	silver/p05/d1927	and	conjunction	neutral				Someday , you 'll wake up	Someday , you 'll wake up and find yourself dead .
624	silver/p05/d1941	and	conjunction	entailment				She gave me mouth to mouth and saved my life .	She gave me mouth to mouth
625	silver/p05/d1941	and	conjunction	neutral				She gave me mouth to mouth	She gave me mouth to mouth and saved my life .
626	silver/p05/d2057	and	conjunction	entailment				The surgeon who did Tom 's operation is very experienced and highly regarded .	The surgeon who did Tom 's operation is very experienced
627	silver/p05/d2057	and	conjunction	neutral				The surgeon who did Tom 's operation is very experienced	The surgeon who did Tom 's operation is very experienced and highly regarded .
628	silver/p05/d2079	and	conjunction	entailment				Tom asked Mary and her friends for help .	Tom asked Mary
629	silver/p05/d2079	and	conjunction	neutral				Tom asked Mary	Tom asked Mary and her friends for help .
630	silver/p05/d2106	and	conjunction	entailment				He is a teacher and novelist .	He is a teacher
631	silver/p05/d2106	and	conjunction	neutral				He is a teacher	He is a teacher and novelist .
632	silver/p05/d2240	and	conjunction	entailment				The sky was bright and clear .	The sky was bright
633	silver/p05/d2240	and	conjunction	neutral				The sky was bright	The sky was bright and clear .
634	silver/p05/d2310	and	conjunction	entailment				We have three dogs , one white and two black .	We have three dogs , one white
635	silver/p05/d2310	and	conjunction	neutral				We have three dogs , one white	We have three dogs , one white and two black .
636	silver/p05/d2319	and	conjunction	entailment				The candle flickered a few times and then went out .	The candle flickered a few times
637	silver/p05/d2319	and	conjunction	neutral				The candle flickered a few times	The candle flickered a few times and then went out .
638	silver/p05/d2353	and	conjunction	entailment				I always thought Tom and Mary made a good couple .	I always thought Tom
639	silver/p05/d2353	and	conjunction	neutral				I always thought Tom	I always thought Tom and Mary made a good couple .
640	silver/p05/d2394	and	conjunction	entailment				He dropped his wallet , and now it 's mine .	He dropped his wallet ,
641	silver/p05/d2394	and	conjunction	neutral				He dropped his wallet ,	He dropped his wallet , and now it 's mine .
642	silver/p05/d2457	and	conjunction	entailment				And then Tom started shouting and told everyone to go home .	And then Tom started shouting
643	silver/p05/d2457	and	conjunction	neutral				And then Tom started shouting	And then Tom started shouting and told everyone to go home .
644	silver/p05/d2467	and	conjunction	neutral				This may sound crazy , but I think I want to go back and do it again .	This may sound crazy , but I think I want to go back
645	silver/p05/d2467	and	conjunction	entailment				This may sound crazy , but I think I want to go back	This may sound crazy , but I think I want to go back and do it again .
646	silver/p05/d2634	and	conjunction	entailment				I ate bread and butter this morning .	I ate bread
647	silver/p05/d2634	and	conjunction	neutral				I ate bread	I ate bread and butter this morning .
648	silver/p05/d2671	and	conjunction	entailment				There the spider waits for small insects like butterflies and dragonflies to be trapped .	There the spider waits for small insects like butterflies
649	silver/p05/d2671	and	conjunction	neutral				There the spider waits for small insects like butterflies	There the spider waits for small insects like butterflies and dragonflies to be trapped .
650	silver/p05/d2703	and	conjunction	entailment				My train left at six and arrived at ten .	My train left at six
651	silver/p05/d2703	and	conjunction	neutral				My train left at six	My train left at six and arrived at ten .
652	silver/p05/d2726	and	conjunction	entailment				Someone is definitely watching out for me and I feel very blessed !	Someone is definitely watching out for me
653	silver/p05/d2726	and	conjunction	neutral				Someone is definitely watching out for me	Someone is definitely watching out for me and I feel very blessed !
654	silver/p05/d2730	and	conjunction	entailment				You should ask your father for his advice and follow it .	You should ask your father for his advice
655	silver/p05/d2730	and	conjunction	neutral				You should ask your father for his advice	You should ask your father for his advice and follow it .
656	silver/p05/d2751	and	conjunction	entailment				I 'm really tired and want to go to bed early .	I 'm really tired
657	silver/p05/d2751	and	conjunction	neutral				I 'm really tired	I 'm really tired and want to go to bed early .
658	silver/p05/d2781	and	conjunction	neutral				I looked down and had absolutely nothing to say .	I looked down
659	silver/p05/d2781	and	conjunction	entailment				I looked down	I looked down and had absolutely nothing to say .
660	silver/p05/d2788	and	conjunction	entailment				Her family considers suicide to be dishonorable and selfish .	Her family considers suicide to be dishonorable
661	silver/p05/d2788	and	conjunction	neutral				Her family considers suicide to be dishonorable	Her family considers suicide to be dishonorable and selfish .
662	silver/p05/d2795	and	conjunction	entailment				Dick played piano and Lucy sang .	Dick played piano
663	silver/p05/d2795	and	conjunction	neutral				Dick played piano	Dick played piano and Lucy sang .
664	silver/p05/d2845	and	conjunction	entailment				My Internet connection is slow and expensive .	My Internet connection is slow
665	silver/p05/d2845	and	conjunction	neutral				My Internet connection is slow	My Internet connection is slow and expensive .
666	silver/p05/d2867	and	conjunction	neutral				These young people are talking loudly amongst themselves and have absolutely no regard for those around them .	These young people are talking loudly amongst themselves
667	silver/p05/d2867	and	conjunction	entailment				These young people are talking loudly amongst themselves	These young people are talking loudly amongst themselves and have absolutely no regard for those around them .
668	silver/p05/d2883	and	conjunction	neutral				The dog ate the stale bread and did n't die .	The dog ate the stale bread
669	silver/p05/d2883	and	conjunction	entailment				The dog ate the stale bread	The dog ate the stale bread and did n't die .
670	silver/p05/d2970	and	conjunction	entailment				Tom laid the book aside and looked up .	Tom laid the book aside
671	silver/p05/d2970	and	conjunction	neutral				Tom laid the book aside	Tom laid the book aside and looked up .
672	silver/p05/d3073	and	conjunction	entailment				In the latest report , it is written that 90 % of all the cocaine smuggled in the world is transported by sea , and most of that by speedboat .	In the latest report , it is written that 90 % of all the cocaine smuggled in the world is transported by sea ,
673	silver/p05/d3073	and	conjunction	neutral				In the latest report , it is written that 90 % of all the cocaine smuggled in the world is transported by sea ,	In the latest report , it is written that 90 % of all the cocaine smuggled in the world is transported by sea , and most of that by speedboat .
674	silver/p05/d3142	and	conjunction	entailment				Spenser 's sarcastic and joking remarks are often misinterpreted as signs of ambivalence and often taken too seriously .	Spenser 's sarcastic
675	silver/p05/d3142	and	conjunction	neutral				Spenser 's sarcastic	Spenser 's sarcastic and joking remarks are often misinterpreted as signs of ambivalence and often taken too seriously .
676	silver/p05/d3156	and	conjunction	entailment				I have good days and bad days .	I have good days
677	silver/p05/d3156	and	conjunction	neutral				I have good days	I have good days and bad days .
678	silver/p05/d3179	and	conjunction	entailment				She 's always happy and smiling .	She 's always happy
679	silver/p05/d3179	and	conjunction	neutral				She 's always happy	She 's always happy and smiling .
680	silver/p05/d3230	and	conjunction	entailment				We drank cappuccinos and reminisced .	We drank cappuccinos
681	silver/p05/d3230	and	conjunction	neutral				We drank cappuccinos	We drank cappuccinos and reminisced .
682	silver/p05/d3234	and	conjunction	entailment				Tom , Mary and John are sitting around the table .	Tom , Mary
683	silver/p05/d3234	and	conjunction	neutral				Tom , Mary	Tom , Mary and John are sitting around the table .
684	silver/p05/d3271	and	conjunction	entailment				Everyone paired off and began dancing .	Everyone paired off
685	silver/p05/d3271	and	conjunction	neutral				Everyone paired off	Everyone paired off and began dancing .
686	silver/p05/d3333	and	conjunction	entailment				He is tall , and she is tall too .	He is tall ,
687	silver/p05/d3333	and	conjunction	neutral				He is tall ,	He is tall , and she is tall too .
688	silver/p05/d3346	and	conjunction	entailment				Some people consider it a waste of time to study languages such as Klingon , Interlingua and Esperanto .	Some people consider it a waste of time to study languages such as Klingon , Interlingua
689	silver/p05/d3346	and	conjunction	neutral				Some people consider it a waste of time to study languages such as Klingon , Interlingua	Some people consider it a waste of time to study languages such as Klingon , Interlingua and Esperanto .
690	silver/p05/d3367	and	conjunction	entailment				I 've just seen that Esperanto has overtaken German , and now has the fourth place . Very good !	I 've just seen that Esperanto has overtaken German ,
691	silver/p05/d3367	and	conjunction	neutral				I 've just seen that Esperanto has overtaken German ,	I 've just seen that Esperanto has overtaken German , and now has the fourth place . Very good !
692	silver/p05/d3393	and	conjunction	entailment				I bought a poster at the Arab World Institute in Paris and I had it framed .	I bought a poster at the Arab World Institute in Paris
693	silver/p05/d3393	and	conjunction	neutral				I bought a poster at the Arab World Institute in Paris	I bought a poster at the Arab World Institute in Paris and I had it framed .
694	silver/p05/d3452	and	conjunction	entailment				I ate fried rice and drank some beer .	I ate fried rice
695	silver/p05/d3452	and	conjunction	neutral				I ate fried rice	I ate fried rice and drank some beer .
696	silver/p05/d3491	and	conjunction	entailment				I 've waited one hour and a half .	I 've waited one hour
697	silver/p05/d3491	and	conjunction	neutral				I 've waited one hour	I 've waited one hour and a half .
698	silver/p05/d3523	and	conjunction	entailment				Tom dipped a strawberry in chocolate and then put it in his mouth .	Tom dipped a strawberry in chocolate
699	silver/p05/d3523	and	conjunction	neutral				Tom dipped a strawberry in chocolate	Tom dipped a strawberry in chocolate and then put it in his mouth .
700	silver/p05/d3535	and	conjunction	entailment				Tom got in his car and drove away .	Tom got in his car
701	silver/p05/d3535	and	conjunction	neutral				Tom got in his car	Tom got in his car and drove away .
702	silver/p05/d3555	and	conjunction	entailment				We were in the neighborhood and thought we 'd drop by .	We were in the neighborhood
703	silver/p05/d3555	and	conjunction	neutral				We were in the neighborhood	We were in the neighborhood and thought we 'd drop by .
704	silver/p06/d0708	and	conjunction	entailment				In fact most villagers from those hill-regions ( Garhwalis , Kumounis , Dogras etc. ) are all pretty gentle people , even though they have a long and distinguished history of military service .	In fact most villagers from those hill-regions ( Garhwalis , Kumounis , Dogras etc. ) are all pretty gentle people , even though they have a long
705	silver/p06/d0708	and	conjunction	neutral				In fact most villagers from those hill-regions ( Garhwalis , Kumounis , Dogras etc. ) are all pretty gentle people , even though they have a long	In fact most villagers from those hill-regions ( Garhwalis , Kumounis , Dogras etc. ) are all pretty gentle people , even though they have a long and distinguished history of military service .
706	silver/p06/d0711	and	conjunction	entailment				From now until presidential election day in 2008 , the national fascination with the Clintons and their marriage will be central to the race . The media-industrial complex will again feed on the Clintons , their past and future .	From now until presidential election day in 2008 , the national fascination with the Clintons
707	silver/p06/d0711	and	conjunction	neutral				From now until presidential election day in 2008 , the national fascination with the Clintons	From now until presidential election day in 2008 , the national fascination with the Clintons and their marriage will be central to the race . The media-industrial complex will again feed on the Clintons , their past and future .
708	silver/p06/d0791	and	conjunction	entailment				The brave knight steps forward and kisses the lady on the hand .	The brave knight steps forward
709	silver/p06/d0791	and	conjunction	neutral				The brave knight steps forward	The brave knight steps forward and kisses the lady on the hand .
710	silver/p06/d1501	and	conjunction	entailment				I have a dog and a cat .	I have a dog
711	silver/p06/d1501	and	conjunction	neutral				I have a dog	I have a dog and a cat .
712	silver/p06/d1642	and	conjunction	entailment				The alien shot his ray gun and blasted a hole in the spaceship 's hull .	The alien shot his ray gun
713	silver/p06/d1642	and	conjunction	neutral				The alien shot his ray gun	The alien shot his ray gun and blasted a hole in the spaceship 's hull .
714	silver/p06/d1675	and	conjunction	entailment				Grandfather opened the car window and aimed the gun at a bird .	Grandfather opened the car window
715	silver/p06/d1675	and	conjunction	neutral				Grandfather opened the car window	Grandfather opened the car window and aimed the gun at a bird .
716	silver/p06/d1700	and	conjunction	entailment				Tom bought a bag of apples and he ate a third of them in one day .	Tom bought a bag of apples
717	silver/p06/d1700	and	conjunction	neutral				Tom bought a bag of apples	Tom bought a bag of apples and he ate a third of them in one day .
718	silver/p06/d1731	and	conjunction	entailment				"In March 1999 , Marcy and Butler announced the detection of the first true other "" solar system "" in which they found evidence of 3 planets orbiting a single star . The star is called Upsilon Andromedae ."	In March 1999 , Marcy
719	silver/p06/d1731	and	conjunction	neutral				In March 1999 , Marcy	"In March 1999 , Marcy and Butler announced the detection of the first true other "" solar system "" in which they found evidence of 3 planets orbiting a single star . The star is called Upsilon Andromedae ."
720	silver/p06/d1739	and	conjunction	neutral				"We all know you go to the cinema to watch "" Twilight "" because of its "" brilliant script "" and not because of its actors ."	"We all know you go to the cinema to watch "" Twilight "" because of its "" brilliant script """
721	silver/p06/d1739	and	conjunction	entailment				"We all know you go to the cinema to watch "" Twilight "" because of its "" brilliant script """	"We all know you go to the cinema to watch "" Twilight "" because of its "" brilliant script "" and not because of its actors ."
722	silver/p06/d1819	and	conjunction	entailment				I shook hands with Tom and left .	I shook hands with Tom
723	silver/p06/d1819	and	conjunction	neutral				I shook hands with Tom	I shook hands with Tom and left .
724	silver/p06/d1848	and	conjunction	entailment				Let 's go and find her .	Let 's go
725	silver/p06/d1848	and	conjunction	neutral				Let 's go	Let 's go and find her .
726	silver/p06/d1922	and	conjunction	entailment				Tom took a beer out of the fridge and handed it to Mary .	Tom took a beer out of the fridge
727	silver/p06/d1922	and	conjunction	neutral				Tom took a beer out of the fridge	Tom took a beer out of the fridge and handed it to Mary .
728	silver/p06/d1929	and	conjunction	entailment				Keiko deftly piles up the dishes and takes them to the sink .	Keiko deftly piles up the dishes
729	silver/p06/d1929	and	conjunction	neutral				Keiko deftly piles up the dishes	Keiko deftly piles up the dishes and takes them to the sink .
730	silver/p06/d2100	and	conjunction	entailment				By signing a contract , you agree to certain terms and conditions .	By signing a contract , you agree to certain terms
731	silver/p06/d2100	and	conjunction	neutral				By signing a contract , you agree to certain terms	By signing a contract , you agree to certain terms and conditions .
732	silver/p06/d2105	and	conjunction	entailment				Maria is sitting at her desk and translating a novel . She 's surrounded by heaps of big dictionaries . Maria needs all of them as she is translating with an almost fanatic precision .	Maria is sitting at her desk
733	silver/p06/d2105	and	conjunction	neutral				Maria is sitting at her desk	Maria is sitting at her desk and translating a novel . She 's surrounded by heaps of big dictionaries . Maria needs all of them as she is translating with an almost fanatic precision .
734	silver/p06/d2163	and	conjunction	neutral				I do not and never will feed my dog raw fish .	I do not
735	silver/p06/d2163	and	conjunction	entailment				I do not	I do not and never will feed my dog raw fish .
736	silver/p06/d2310	and	conjunction	entailment				I love you and vice~versa .	I love you
737	silver/p06/d2310	and	conjunction	neutral				I love you	I love you and vice~versa .
738	silver/p06/d2328	and	conjunction	entailment				We must respect each of God 's creatures and respect the environment in which we live .	We must respect each of God 's creatures
739	silver/p06/d2328	and	conjunction	neutral				We must respect each of God 's creatures	We must respect each of God 's creatures and respect the environment in which we live .
740	silver/p06/d2342	and	conjunction	entailment				It 's customary for waiters and waitresses to introduce themselves using only their first names .	It 's customary for waiters
741	silver/p06/d2342	and	conjunction	neutral				It 's customary for waiters	It 's customary for waiters and waitresses to introduce themselves using only their first names .
742	silver/p06/d2565	and	conjunction	entailment				My father was son of Argentines and my mother was daughter of Brazilians .	My father was son of Argentines
743	silver/p06/d2565	and	conjunction	neutral				My father was son of Argentines	My father was son of Argentines and my mother was daughter of Brazilians .
744	silver/p06/d2571	and	conjunction	entailment				Tom took Mary and her daughter home .	Tom took Mary
745	silver/p06/d2571	and	conjunction	neutral				Tom took Mary	Tom took Mary and her daughter home .
746	silver/p06/d2647	and	conjunction	entailment				Tom took a book off the shelf and handed it to Mary .	Tom took a book off the shelf
747	silver/p06/d2647	and	conjunction	neutral				Tom took a book off the shelf	Tom took a book off the shelf and handed it to Mary .
748	silver/p06/d2697	and	conjunction	neutral				Tom loves a good laugh and avoids people who have n't got a sense of humour .	Tom loves a good laugh
749	silver/p06/d2697	and	conjunction	entailment				Tom loves a good laugh	Tom loves a good laugh and avoids people who have n't got a sense of humour .
750	silver/p06/d2738	and	conjunction	entailment				The horse took fright and bolted .	The horse took fright
751	silver/p06/d2738	and	conjunction	neutral				The horse took fright	The horse took fright and bolted .
752	silver/p06/d2739	and	conjunction	entailment				It consists in the dissipation of one 's own ignorance concerning one 's self and life , and gradual growth of that understanding , which begins a spiritual awakening . The finding of God is coming to one 's self .	It consists in the dissipation of one 's own ignorance concerning one 's self
753	silver/p06/d2739	and	conjunction	neutral				It consists in the dissipation of one 's own ignorance concerning one 's self	It consists in the dissipation of one 's own ignorance concerning one 's self and life , and gradual growth of that understanding , which begins a spiritual awakening . The finding of God is coming to one 's self .
754	silver/p06/d2861	and	conjunction	entailment				Tom walked down the hall and into Mary 's office .	Tom walked down the hall
755	silver/p06/d2861	and	conjunction	neutral				Tom walked down the hall	Tom walked down the hall and into Mary 's office .
756	silver/p06/d2910	and	conjunction	entailment				Tom opened the shoebox and took out the shoes .	Tom opened the shoebox
757	silver/p06/d2910	and	conjunction	neutral				Tom opened the shoebox	Tom opened the shoebox and took out the shoes .
758	silver/p06/d3091	and	conjunction	neutral				All Sadako could do now was to make paper cranes and hope for a miracle .	All Sadako could do now was to make paper cranes
759	silver/p06/d3091	and	conjunction	entailment				All Sadako could do now was to make paper cranes	All Sadako could do now was to make paper cranes and hope for a miracle .
760	silver/p06/d3113	and	conjunction	entailment				Tom wants to marry Mary and John 's daughter .	Tom wants to marry Mary
761	silver/p06/d3113	and	conjunction	neutral				Tom wants to marry Mary	Tom wants to marry Mary and John 's daughter .
762	silver/p06/d3162	and	conjunction	entailment				You definitely ca n't compare Marseilles and Lyons .	You definitely ca n't compare Marseilles
763	silver/p06/d3162	and	conjunction	neutral				You definitely ca n't compare Marseilles	You definitely ca n't compare Marseilles and Lyons .
764	silver/p06/d3207	and	conjunction	entailment				I am the only Brazilian who ca n't speak Portuguese and dance samba .	I am the only Brazilian who ca n't speak Portuguese
765	silver/p06/d3207	and	conjunction	neutral				I am the only Brazilian who ca n't speak Portuguese	I am the only Brazilian who ca n't speak Portuguese and dance samba .
766	silver/p06/d3217	and	conjunction	entailment				Tom disliked both Mary and John .	Tom disliked both Mary
767	silver/p06/d3217	and	conjunction	neutral				Tom disliked both Mary	Tom disliked both Mary and John .
768	silver/p06/d3226	and	conjunction	entailment				There are only two things we should fight for . One is the defense of our homes and the other is the Bill of~Rights .	There are only two things we should fight for . One is the defense of our homes
769	silver/p06/d3226	and	conjunction	neutral				There are only two things we should fight for . One is the defense of our homes	There are only two things we should fight for . One is the defense of our homes and the other is the Bill of~Rights .
770	silver/p06/d3230	and	conjunction	entailment				Tom laughed and Mary laughed with him .	Tom laughed
771	silver/p06/d3230	and	conjunction	neutral				Tom laughed	Tom laughed and Mary laughed with him .
772	silver/p06/d3270	and	conjunction	entailment				I 'm studying French and web design .	I 'm studying French
773	silver/p06/d3270	and	conjunction	neutral				I 'm studying French	I 'm studying French and web design .
774	silver/p06/d3370	and	conjunction	entailment				Let 's sit down and talk .	Let 's sit down
775	silver/p06/d3370	and	conjunction	neutral				Let 's sit down	Let 's sit down and talk .
776	silver/p07/d0706	and	conjunction	entailment				The United~States is engaged in extensive international efforts on climate , both through multilateral and bilateral activities .	The United~States is engaged in extensive international efforts on climate , both through multilateral
777	silver/p07/d0706	and	conjunction	neutral				The United~States is engaged in extensive international efforts on climate , both through multilateral	The United~States is engaged in extensive international efforts on climate , both through multilateral and bilateral activities .
778	silver/p07/d0707	and	conjunction	entailment				"In November 1994 , News of Norway reviewed a Norwegian novel just released in the United~States , Sophie's~World "" by the high school philosophy teacher and author Jostein~Gaarder ."	"In November 1994 , News of Norway reviewed a Norwegian novel just released in the United~States , Sophie's~World "" by the high school philosophy teacher"
779	silver/p07/d0707	and	conjunction	neutral				"In November 1994 , News of Norway reviewed a Norwegian novel just released in the United~States , Sophie's~World "" by the high school philosophy teacher"	"In November 1994 , News of Norway reviewed a Norwegian novel just released in the United~States , Sophie's~World "" by the high school philosophy teacher and author Jostein~Gaarder ."
780	silver/p07/d0710	and	conjunction	entailment				The City~Council recently budgeted $ 7,300 to pay for training Officer Ron Inman and his dog Waldo .	The City~Council recently budgeted $ 7,300 to pay for training Officer Ron Inman
781	silver/p07/d0710	and	conjunction	neutral				The City~Council recently budgeted $ 7,300 to pay for training Officer Ron Inman	The City~Council recently budgeted $ 7,300 to pay for training Officer Ron Inman and his dog Waldo .
782	silver/p07/d0754	and	conjunction	entailment				Claes was foreign minister of Belgium from 1992 until 1994 , and secretary general of NATO from 1994 until 1995 , when he was forced to resign because of allegations of corruption related to improper contracts for Agusta helicopters approved by him while he was minister of economic affairs . For that he also lost his civil rights for numerous years .	Claes was foreign minister of Belgium from 1992 until 1994 ,
783	silver/p07/d0754	and	conjunction	neutral				Claes was foreign minister of Belgium from 1992 until 1994 ,	Claes was foreign minister of Belgium from 1992 until 1994 , and secretary general of NATO from 1994 until 1995 , when he was forced to resign because of allegations of corruption related to improper contracts for Agusta helicopters approved by him while he was minister of economic affairs . For that he also lost his civil rights for numerous years .
784	silver/p07/d0756	and	conjunction	neutral				November 9 , 1989 , the day the Berlin Wall fell and the world changed forever . Not even the most astute saw it coming .	November 9 , 1989 , the day the Berlin Wall fell
785	silver/p07/d0756	and	conjunction	entailment				November 9 , 1989 , the day the Berlin Wall fell	November 9 , 1989 , the day the Berlin Wall fell and the world changed forever . Not even the most astute saw it coming .
786	silver/p07/d0841	and	conjunction	entailment				He had an accident and broke his leg .	He had an accident
787	silver/p07/d0841	and	conjunction	neutral				He had an accident	He had an accident and broke his leg .
788	silver/p07/d1435	and	conjunction	entailment				I 've tried it and it works like a dream .	I 've tried it
789	silver/p07/d1435	and	conjunction	neutral				I 've tried it	I 've tried it and it works like a dream .
790	silver/p07/d1453	and	conjunction	entailment				They breed cattle and horses .	They breed cattle
791	silver/p07/d1453	and	conjunction	neutral				They breed cattle	They breed cattle and horses .
792	silver/p07/d1470	and	conjunction	entailment				There were two cakes . I ate one and then I ate the other .	There were two cakes . I ate one
793	silver/p07/d1470	and	conjunction	neutral				There were two cakes . I ate one	There were two cakes . I ate one and then I ate the other .
794	silver/p07/d1518	and	conjunction	entailment				Black money scandal , 11th of September , expenseuro , the Old Europe , Hartz IV , Madame Chancellor , fanmile , climatic catastrophe , financial crisis , wreckage bonus and citizen of anger are the last ten words of the year in Germany .	Black money scandal , 11th of September , expenseuro , the Old Europe , Hartz IV , Madame Chancellor , fanmile , climatic catastrophe , financial crisis , wreckage bonus
795	silver/p07/d1518	and	conjunction	neutral				Black money scandal , 11th of September , expenseuro , the Old Europe , Hartz IV , Madame Chancellor , fanmile , climatic catastrophe , financial crisis , wreckage bonus	Black money scandal , 11th of September , expenseuro , the Old Europe , Hartz IV , Madame Chancellor , fanmile , climatic catastrophe , financial crisis , wreckage bonus and citizen of anger are the last ten words of the year in Germany .
796	silver/p07/d1631	and	conjunction	entailment				Stop beating around the bush and answer my question !	Stop beating around the bush
797	silver/p07/d1631	and	conjunction	neutral				Stop beating around the bush	Stop beating around the bush and answer my question !
798	silver/p07/d1653	and	conjunction	neutral				Man is a vertebrate and has an immortal soul as~well~as a fatherland , so that he does n't get too cocky .	Man is a vertebrate
799	silver/p07/d1653	and	conjunction	entailment				Man is a vertebrate	Man is a vertebrate and has an immortal soul as~well~as a fatherland , so that he does n't get too cocky .
800	silver/p07/d1749	and	conjunction	entailment				Then the younger brother set off , and the elder remained behind .	Then the younger brother set off ,
801	silver/p07/d1749	and	conjunction	neutral				Then the younger brother set off ,	Then the younger brother set off , and the elder remained behind .
802	silver/p07/d1797	and	conjunction	entailment				Mary made a cute snowman out of styrofoam balls and an old sock .	Mary made a cute snowman out of styrofoam balls
803	silver/p07/d1797	and	conjunction	neutral				Mary made a cute snowman out of styrofoam balls	Mary made a cute snowman out of styrofoam balls and an old sock .
804	silver/p07/d1867	and	conjunction	entailment				Good words are worth much , and cost little .	Good words are worth much ,
805	silver/p07/d1867	and	conjunction	neutral				Good words are worth much ,	Good words are worth much , and cost little .
806	silver/p07/d1917	and	conjunction	entailment				It is possible to write Braille by hand using a slate and a stylus .	It is possible to write Braille by hand using a slate
807	silver/p07/d1917	and	conjunction	neutral				It is possible to write Braille by hand using a slate	It is possible to write Braille by hand using a slate and a stylus .
808	silver/p07/d1979	and	conjunction	entailment				I asked Tom if he wanted something to eat and he said yes .	I asked Tom if he wanted something to eat
809	silver/p07/d1979	and	conjunction	neutral				I asked Tom if he wanted something to eat	I asked Tom if he wanted something to eat and he said yes .
810	silver/p07/d1981	and	conjunction	entailment				Even now , many years after the cold~war , there is still much bitterness between Germans and Russian , especially in areas which were occupied by the Soviet~Union .	Even now , many years after the cold~war , there is still much bitterness between Germans
811	silver/p07/d1981	and	conjunction	neutral				Even now , many years after the cold~war , there is still much bitterness between Germans	Even now , many years after the cold~war , there is still much bitterness between Germans and Russian , especially in areas which were occupied by the Soviet~Union .
812	silver/p07/d2053	and	conjunction	entailment				Today , I saw a woman in pink crocs and I believe that that is the best contraceptive I have ever seen .	Today , I saw a woman in pink crocs
813	silver/p07/d2053	and	conjunction	neutral				Today , I saw a woman in pink crocs	Today , I saw a woman in pink crocs and I believe that that is the best contraceptive I have ever seen .
814	silver/p07/d2141	and	conjunction	entailment				Tom picked up John 's briefcase and handed it to him .	Tom picked up John 's briefcase
815	silver/p07/d2141	and	conjunction	neutral				Tom picked up John 's briefcase	Tom picked up John 's briefcase and handed it to him .
816	silver/p07/d2155	and	conjunction	entailment				Tom drew his gun and shot one of the men .	Tom drew his gun
817	silver/p07/d2155	and	conjunction	neutral				Tom drew his gun	Tom drew his gun and shot one of the men .
818	silver/p07/d2177	and	conjunction	entailment				He ate insects and spiders .	He ate insects
819	silver/p07/d2177	and	conjunction	neutral				He ate insects	He ate insects and spiders .
820	silver/p07/d2199	and	conjunction	entailment				It 's getting darker and darker .	It 's getting darker
821	silver/p07/d2199	and	conjunction	neutral				It 's getting darker	It 's getting darker and darker .
822	silver/p07/d2327	and	conjunction	entailment				I caught a cold , and I have a fever .	I caught a cold ,
823	silver/p07/d2327	and	conjunction	neutral				I caught a cold ,	I caught a cold , and I have a fever .
824	silver/p07/d2375	and	conjunction	entailment				Tom turned and ran after Mary .	Tom turned
825	silver/p07/d2375	and	conjunction	neutral				Tom turned	Tom turned and ran after Mary .
826	silver/p07/d2378	and	conjunction	entailment				As in Eastern Europe , pollution in China is getting worse and worse .	As in Eastern Europe , pollution in China is getting worse
827	silver/p07/d2378	and	conjunction	neutral				As in Eastern Europe , pollution in China is getting worse	As in Eastern Europe , pollution in China is getting worse and worse .
828	silver/p07/d2397	and	conjunction	entailment				I study English and Japanese .	I study English
829	silver/p07/d2397	and	conjunction	neutral				I study English	I study English and Japanese .
830	silver/p07/d2401	and	conjunction	entailment				I finished off one half of the pizza and wrapped the other half in aluminum foil and put it in the fridge .	I finished off one half of the pizza
831	silver/p07/d2401	and	conjunction	neutral				I finished off one half of the pizza	I finished off one half of the pizza and wrapped the other half in aluminum foil and put it in the fridge .
832	silver/p07/d2419	and	conjunction	entailment				They met the crown princes of Sweden and Denmark .	They met the crown princes of Sweden
833	silver/p07/d2419	and	conjunction	neutral				They met the crown princes of Sweden	They met the crown princes of Sweden and Denmark .
834	silver/p07/d2444	and	conjunction	entailment				A 5% consumption tax is levied on purchases of most goods and services .	A 5% consumption tax is levied on purchases of most goods
835	silver/p07/d2444	and	conjunction	neutral				A 5% consumption tax is levied on purchases of most goods	A 5% consumption tax is levied on purchases of most goods and services .
836	silver/p07/d2478	and	conjunction	entailment				There has been a large increase in trade between the United~States and China .	There has been a large increase in trade between the United~States
837	silver/p07/d2478	and	conjunction	neutral				There has been a large increase in trade between the United~States	There has been a large increase in trade between the United~States and China .
838	silver/p07/d2764	and	conjunction	entailment				It 's supposed to get colder and snow later today .	It 's supposed to get colder
839	silver/p07/d2764	and	conjunction	neutral				It 's supposed to get colder	It 's supposed to get colder and snow later today .
840	silver/p07/d2765	and	conjunction	entailment				Tom drew a revolver and shot John 's hat off his head .	Tom drew a revolver
841	silver/p07/d2765	and	conjunction	neutral				Tom drew a revolver	Tom drew a revolver and shot John 's hat off his head .
842	silver/p07/d2788	and	conjunction	entailment				It 's possible Tom and Mary are related .	It 's possible Tom
843	silver/p07/d2788	and	conjunction	neutral				It 's possible Tom	It 's possible Tom and Mary are related .
844	silver/p07/d2810	and	conjunction	entailment				Imogen of the Internet has only been photographed by cheap webcams and cell~phones .	Imogen of the Internet has only been photographed by cheap webcams
845	silver/p07/d2810	and	conjunction	neutral				Imogen of the Internet has only been photographed by cheap webcams	Imogen of the Internet has only been photographed by cheap webcams and cell~phones .
